path,label
flowers\astilbe\astilbe_651.jpg,astilbe
flowers\iris\iris_587.jpg,iris
flowers\coreopsis\coreopsis_239.jpg,coreopsis
flowers\astilbe\astilbe_532.jpg,astilbe
flowers\carnation\carnation_343.jpg,carnation
flowers\magnolia\magnolia_996.jpg,magnolia
flowers\black_eyed_susan\black_eyed_susan_683.jpg,black_eyed_susan
flowers\orchid\orchid_282.jpg,orchid
flowers\magnolia\magnolia_1031.jpg,magnolia
flowers\coreopsis\coreopsis_805.jpg,coreopsis
flowers\iris\iris_871.jpg,iris
flowers\astilbe\astilbe_623.jpg,astilbe
flowers\lavender\lavender_405.jpeg,lavender
flowers\carnation\carnation_577.jpg,carnation
flowers\coreopsis\coreopsis_552.jpg,coreopsis
flowers\coreopsis\coreopsis_440.jpg,coreopsis
flowers\lavender\lavender_63.jpg,lavender
flowers\carnation\carnation_860.jpg,carnation
flowers\daffodil\daffodil_66.jpg,daffodil
flowers\daffodil\daffodil_702.jpg,daffodil
flowers\rose\rose_353.jpg,rose
flowers\rose\rose_850.jpg,rose
flowers\carnation\carnation_834.jpg,carnation
flowers\magnolia\magnolia_668.jpg,magnolia
flowers\calendula\calendula_529.jpg,calendula
flowers\coreopsis\coreopsis_775.jpg,coreopsis
flowers\rose\rose_167.jpg,rose
flowers\dandelion\dandelion_828.jpg,dandelion
flowers\rose\rose_275.jpg,rose
flowers\daffodil\daffodil_895.jpg,daffodil
flowers\astilbe\astilbe_669.jpg,astilbe
flowers\sunflower\sunflower_999.jpg,sunflower
flowers\bellflower\bellflower_584.jpg,bellflower
flowers\tulip\tulip_112.jpg,tulip
flowers\sunflower\sunflower_272.jpg,sunflower
flowers\orchid\orchid_416.jpg,orchid
flowers\astilbe\astilbe_720.jpg,astilbe
flowers\tulip\tulip_398.jpg,tulip
flowers\astilbe\astilbe_719.jpg,astilbe
flowers\dandelion\dandelion_115.jpg,dandelion
flowers\sunflower\sunflower_111.jpg,sunflower
flowers\water_lily\water_lily_122.jpg,water_lily
flowers\sunflower\sunflower_639.jpg,sunflower
flowers\black_eyed_susan\black_eyed_susan_826.jpg,black_eyed_susan
flowers\sunflower\sunflower_808.jpg,sunflower
flowers\rose\rose_190.jpg,rose
flowers\astilbe\astilbe_307.jpg,astilbe
flowers\lotus\lotus_326.jpg,lotus
flowers\california_poppy\california_poppy_460.jpg,california_poppy
flowers\california_poppy\california_poppy_1007.jpg,california_poppy
flowers\carnation\carnation_628.jpg,carnation
flowers\common_daisy\daisy_304.jpg,common_daisy
flowers\bellflower\bellflower_693.jpg,bellflower
flowers\sunflower\sunflower_89.jpg,sunflower
flowers\carnation\carnation_170.jpg,carnation
flowers\astilbe\astilbe_338.jpg,astilbe
flowers\rose\rose_495.jpg,rose
flowers\dandelion\dandelion_902.jpg,dandelion
flowers\calendula\calendula_223.jpg,calendula
flowers\tulip\tulip_334.jpg,tulip
flowers\lotus\lotus_92.jpg,lotus
flowers\daffodil\daffodil_625.jpg,daffodil
flowers\sunflower\sunflower_956.jpg,sunflower
flowers\sunflower\sunflower_747.jpg,sunflower
flowers\calendula\calendula_8.jpg,calendula
flowers\orchid\orchid_40.jpg,orchid
flowers\coreopsis\coreopsis_302.jpg,coreopsis
flowers\magnolia\magnolia_312.jpg,magnolia
flowers\common_daisy\daisy_870.jpg,common_daisy
flowers\sunflower\sunflower_587.jpg,sunflower
flowers\lavender\lavender_487.jpeg,lavender
flowers\carnation\carnation_171.jpg,carnation
flowers\bellflower\bellflower_372.jpg,bellflower
flowers\sunflower\sunflower_1008.jpg,sunflower
flowers\tulip\tulip_727.jpg,tulip
flowers\magnolia\magnolia_1015.jpg,magnolia
flowers\common_daisy\daisy_175.jpg,common_daisy
flowers\common_daisy\daisy_395.jpg,common_daisy
flowers\lotus\lotus_125.jpg,lotus
flowers\iris\iris_96.jpg,iris
flowers\orchid\orchid_399.jpg,orchid
flowers\iris\iris_1033.jpg,iris
flowers\iris\iris_918.jpg,iris
flowers\lavender\lavender_362.jpeg,lavender
flowers\common_daisy\daisy_639.jpg,common_daisy
flowers\rose\rose_839.jpg,rose
flowers\iris\iris_713.jpg,iris
flowers\orchid\orchid_312.jpg,orchid
flowers\lavender\lavender_431.jpeg,lavender
flowers\carnation\carnation_545.jpg,carnation
flowers\coreopsis\coreopsis_962.jpg,coreopsis
flowers\lotus\lotus_495.jpg,lotus
flowers\calendula\calendula_729.jpg,calendula
flowers\dandelion\dandelion_539.jpg,dandelion
flowers\calendula\calendula_177.jpg,calendula
flowers\sunflower\sunflower_213.jpg,sunflower
flowers\lotus\lotus_341.jpg,lotus
flowers\common_daisy\daisy_797.jpg,common_daisy
flowers\lotus\lotus_35.jpg,lotus
flowers\water_lily\water_lily_561.jpg,water_lily
flowers\astilbe\astilbe_352.jpg,astilbe
flowers\carnation\carnation_634.jpg,carnation
